Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
283,ts'ak',dish,jits'ak'; jixts'ak',,noun,,,2,,,,,
284,g_asg_ootxw,dislike,,,transitive verb,,2,,,,,,
285,t'aks,dive,tk'isaks,,intransitive verb,,,2,,,,,
286,bitxw,divorce,,,intransitive verb,,,,,,,,
287,us,dog,,,noun,,,,,,,,
288,g_aniis,dog salmon,,,noun,,2,,,,,,
289,saabaya'a,Dolly Varden trout,,,noun,,3,,,,,,
290,ha'w,don't,,,subordinator,,,,,,negative imperative,check example sentences for both versions of ha'w,dep marker
291,aats'ip,door,,,noun,,1,,,,,,
292,mix k_'aax,down (feathers),,,noun,,2,,,,,,
293,.'yag_a,down along a slope,,,preverb,,1,,,,,,
294,t'ip,down through the air; at a sharp angle,,,preverb,,,,,,,,
295,gisa,downriver,,,preverb,,1,,,,,,
296,geets,downstream,,,noun,,,,,,,,
297,k_'aax_(t),drag,,,transitive verb,,,,,,,,T-verb?
298,xsi wok_,dream,,,intransitive verb,,2,,,,,"also noun, and transitive T-verb",
299,ayukwsxw,dress (oneself),,,intransitive verb,,2,,,,,,
300,nuutxw,dress up,,,intransitive verb,,,,,,,,
301,haxhooyasxw,be dressed (up),,,intransitive verb,,2,,,,,,
302,g_anuutxw,get dressed,,,intransitive verb,,2,,,,,,
303,hayala,drill; auger,,,noun,,2,,,,,,
304,la'aks,drink,,,transitive verb,,2,,,,,check transitivity,
305,t'ugwandin,drop,,,transitive verb,,2,,,,,,
306,anuuhl,drum,,,noun,,2,,,,,,
307,sil,be drunk; be intoxicated,silsil,,intransitive verb,,,2,,,,,
308,gwalkw,be dry,gwilgwalkw,,intransitive verb,,,2,,,,,
309,nax_naax_t,mallard duck,,,noun,,2,,,,,,
310,mukw,sawbill duck,,,noun,,,,,,,,
311,x_deek_,be dull,,,intransitive verb,,,,,,,,
312,.'mitxw,be dusty; be scattered,,,intransitive verb,,,,,,,,
313,na,each other,,,preverb,,,,,,triggers big-T on compatible transitive verbs,more of a prefix than a preverb but let's try,
314,x_sgyaak,eagle,,,noun,,,,,,,,
315,lax_ x_sgiik,Eagle phratry,,,noun,,2,,,,,,
316,sgimsim,eagle species,,,noun,,1,,,,,THUNDERBIRD?,
317,muxw,ear,humuxw; g_amuxw; g_ahumuxw,,noun,,,2; 2; 3,,,,,
318,hlook_,be early; wake up early,hlax_hlook_,,intransitive verb,,,2,,,,,
319,max_muxw,earring,,,noun,,2,,,,,,
320,laldim wis,earthworm,,,noun,,3,,,,,,
321,yook_xw,eat,tx_ook_xw,,intransitive verb,,,1,,,,,
322,gup,eat,gipgup,,transitive verb,,,2,,,,,
323,t'eek_,eat ravenously,lit'eek_,,intransitive verb,,,2,,,,,
324,jahl,eat all up,jisjahl,,transitive verb,,,2,,,,,
325,hayook_xw,eating utensils (knife & fork),,,noun,,2,,,,,,
326,ts'ee,edge,,,noun,,,,,,,,
327,lok_',eel,,,noun,,,,,,,,
328,hlgim ha,egg,,,noun,,2,,,,,,
329,sg_ans,elbow,,,noun,,,,,,,,
330,loots',elderberry,,,noun,,,,,,,,
331,sg_an loots',elderberry bush,,,noun,,2,,,,,,
332,ts'amtx,electricity; flash,,,noun,,,,,,,,
333,gihlee'e,embroidery,,,noun,,2,,,,,,
334,g_al,empty; without people,,,prenoun,,,,,,,,
335,g_oot,be empty,,,,,,,,,,check this -- g_ooda? what is recording for?,
336,ts'u'win,end; tip; point,,,noun,,2,,,,,,
337,ts'in,enter; go in,ts'imax_s,,intransitive verb,,,?,,,,,
338,tx_aa; taax_,entirely; all,,,preverb,,,,,,,,
339,wag_ayt; waayt,entirely; completely,,,modifier,,1,,,,,,
340,yuxwsa,evening,,,noun,,,,,,,,
341,laalax_,examine,,,transitive verb,,1,,,,,LOOK REDUP,
342,bisxw,expect; be ready for,,,intransitive verb,,,,,,,,
343,mag_oonsxw,explain,,,intransitive verb,,2,,,,,,
344,ts'a'a,eye; face,,,noun,,1,,,,,,
345,ligi'l,eyebrow,,,noun,,2,,,,,,
346,laya woo'lip; laya woo'mil,eyelash,,,noun,,3,,,,,,
347,xwsit,autumn; fall,,,noun,,,,,,,,
348,g_enx_,fall (of a tree),linx_,,intransitive verb,,,1,,,,,
349,tk_'aa kw'adixsxw,fall down; fall over,,,intransitive verb,,2,,,,,,
350,guwasxw,fall down,guxwguwasxw,,intransitive verb,,1,2,,,,,
351,t'ugwantxw,fall down,,,intransitive verb,,2,,,,,,
352,wil 'naa t'ahl,family,,,noun,,3,,,,,,
353,.'masxw,fart; sting,mis'masxw,,intransitive verb,,,2,,,,check category of sting use -- still intransitive?,
354,naahlx_,fast (of food); refrain from eating,,,intransitive verb,,,,,,,BREATH?,
355,t'ee'lt,be fast; hurry; rush,,,intransitive verb,,,,,,,,
356,hix,fat,,,noun,,,,,,,check sentence audio for right category,
356,hix,be fat,,,intransitive verb,,,,,,,check sentence audio for right category,
357,baasx,fear,,,transitive verb,,,,,,,,
358,li'ligit,feast,,,noun,,1,,,,,,
359,yoog_an,feed,tx_oog_an,,transitive verb,,1,1,,,,,
360,aatx,feel (touch or sensation),,,transitive verb,,,,,,,,
361,sbax_sxw,feel one's way along,,,intransitive verb,,,,,,,check transitivity,
362,g_enin,fell (a tree),linin,,transitive verb,,1,1,,,,check transitivity,
363,g_alaax_an,fence,,,noun,,2,,,,,,
364,hlibuu,be few,,,quantifier,,2,,,,,,
365,dal,fight,,,intransitive verb,,,,,,,,
366,midin,fill,,,transitive verb,,1,,,,,,
367,neek_',dorsal fin,,,noun,,,,,,,,
368,.'wa,find; get to (somewhere); reach,,,transitive verb,,,,,,,,
369,.'week_'s,find,,,transitive verb,,,,,,,check transitivity and usage,
370,awsxw,be fine (size),,,intransitive verb,,,,,,,,
371,g_ats'uwinilt,fingers,,,noun,,3,,,,,,
372,g_aak_,index finger,,,noun,,,,,,,,
373,sg_enx,little finger,,,noun,,,,,,,,
374,silgunst,middle finger,,,noun,,1,,,,,,
375,sda'lixs,ring finger,,,noun,,1,,,,,,
376,hlisin,finish,hlixhlisin,,transitive verb,,1,2,,,,,
377,hlisxw,be finished,hlixhlisxw,,intransitive verb,,,2,,,,,
378,wihl,fir tree,,,noun,,,,,,,,
379,dax_,firmly,,,preverb,,,,,,,,
380,lakw,fire; fuel,,,noun,,,,,,,,
381,Gisk_'ahaast; Gisk_'aast,Fireweed phratry; Killerwhale phratry,,,noun,,3; 2,,,,,,
382,xsg_ook_,be first,,,intransitive verb,,,,,,,,
383,hun; hon,anadromous fish; salmon (and steelhead),,,noun,,,,,,,,
384,ixw,fish (with hook and line),,,intransitive verb,,,,,,,,
385,lan,fish eggs,,,noun,,,,,,,,
386,.'ween,fisher,,,noun,,,,,,,,
387,g_al k_'oop',fish heart,,,noun,,2,,,,,,
388,t'a'wilt,fish hook; safety pin,,,noun,,?,,,,,,
389,hlatsx_,fish tail,,,noun,,,,,,,,
390,t'in,fish weir; fishtrap,,,noun,,,,,,,,
391,gyooks,float; drift; soak,looks,,intransitive verb,,,1,,,,,
392,ha'niiwan,floor,,,noun,,3,,,,,,
393,majag_alee,flower,,,noun,,4,,,,,,
394,biyoosxw,fly; mosquito,,,noun,,2,,,,,,
395,gipaykw,fly,lipaykw,,intransitive verb,,2,2,,,,,
396,k'ip hlik',flying squirrel,,,noun,,2,,,,,,
397,x_eek_,foam; blossoms,,,noun,,,,,,,,
398,yuxw,follow,,,transitive verb,,,,,,,,
399,wineex,food,,,noun,,2,,,,,,
400,lo'obim t'im g_es,fool hen,,,noun,,"1,5",,,,,,
400,lo'oba ts'a'l,fool hen,,,noun,,"1,4",,,,,,
401,momst,be foolish; be nuts,,,intransitive verb,,,,,,,check usage to see if it has weird metathesis or T-like behavior,
402,miin,base; foot; boss,,,noun,,,,,,,,
403,nax_s'neex_,top surface of foot,,,noun,,2,,,,,,
404,g_aniis,for a long time; always,,,preverb,,2,,,,,,
405,lukw'il,for good; very,,,modifier,,1,,,,,preverb??,
406,hat'ag_an,forbid,,,transitive verb,,2,,,,,,
407,hupx_,forehead,,,noun,,,,,,,,
408,t'ak,forget,,,transitive verb,,,,,,,,
409,hax_smax,fork,,,noun,,2,,,,,,
